epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,264.424,1.91006,2.50985,0.00589,0.48074,0.60901,0.49996,0.22114,1.72995,1.48467,0.00809,0.00997807,0.00332602,0.00997807,0.00332602,0.00997807,0.00332602,0.00997807,0.00332602
2,469.757,1.77563,1.37002,0.00543,0.44942,0.60172,0.50049,0.23494,1.75156,1.47637,0.00873,0.0198462,0.0066154,0.0198462,0.0066154,0.0198462,0.0066154,0.0198462,0.0066154
3,662.171,1.80693,1.35083,0.0057,0.64984,0.76813,0.76471,0.37788,1.66179,1.29931,0.00998,0.0295824,0.00986079,0.0295824,0.00986079,0.0295824,0.00986079,0.0295824,0.00986079
4,850.377,1.83095,1.34401,0.00592,0.4758,0.66098,0.53786,0.25831,1.74128,1.35031,0.00998,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,1038.52,1.79735,1.25674,0.00575,0.57808,0.55678,0.56565,0.28123,1.72742,1.40525,0.01018,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,1227.05,1.771,1.21203,0.00573,0.40696,0.53352,0.43601,0.22174,1.83117,1.35476,0.00962,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1415.22,1.75618,1.1591,0.00553,0.80161,0.8159,0.84949,0.45345,1.52286,1.02978,0.00886,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1603.6,1.7273,1.1189,0.00543,0.80031,0.81231,0.85448,0.46182,1.47142,0.97246,0.00796,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1792.19,1.71916,1.08862,0.00549,0.78454,0.75731,0.81172,0.41737,1.57779,1.01628,0.00799,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1980.82,1.70638,1.05647,0.00527,0.79697,0.79806,0.85352,0.4559,1.4705,0.93349,0.00798,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,2168.68,1.6891,1.04584,0.00523,0.80439,0.83281,0.8627,0.46446,1.48085,0.9162,0.0078,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,2357.05,1.67002,1.01677,0.00518,0.81383,0.82997,0.85563,0.47231,1.44124,0.89532,0.00742,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,2545.58,1.67553,1.00615,0.00519,0.83231,0.82541,0.86489,0.47462,1.44661,0.85554,0.00758,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,2734.32,1.66738,1.00642,0.00505,0.6537,0.71801,0.71256,0.38782,1.50001,1.00919,0.00762,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,2922.66,1.66154,0.98761,0.00503,0.83595,0.81744,0.86369,0.47322,1.46152,0.86171,0.00757,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,3111.29,1.63464,0.96484,0.00504,0.78096,0.82745,0.84803,0.46314,1.44249,0.83301,0.00729,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,3299.61,1.63823,0.94223,0.00492,0.83635,0.83469,0.87383,0.48655,1.40657,0.81302,0.00709,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,3488.27,1.62984,0.93046,0.00492,0.81409,0.82946,0.87656,0.48651,1.38326,0.82895,0.0069,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,3676.39,1.61989,0.93459,0.00488,0.811,0.85363,0.87351,0.48979,1.40274,0.81443,0.00723,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,3865.13,1.61061,0.92333,0.00478,0.79326,0.81578,0.87193,0.49164,1.37923,0.77655,0.00657,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,4054,1.61436,0.91831,0.00473,0.82731,0.84357,0.86667,0.48969,1.39327,0.80372,0.0067,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,4241.95,1.61316,0.91176,0.00484,0.83912,0.80639,0.87031,0.49171,1.37197,0.78266,0.00658,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,4430.74,1.60125,0.90308,0.00483,0.83924,0.84049,0.88111,0.49608,1.37473,0.75471,0.00654,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,4619.78,1.601,0.90196,0.00474,0.79495,0.85639,0.86157,0.49157,1.36156,0.77184,0.0065,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,4808.55,1.59267,0.88904,0.00467,0.80152,0.8455,0.86616,0.49408,1.36193,0.764,0.00652,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,4997.45,1.58575,0.86623,0.00467,0.82393,0.83855,0.88024,0.49822,1.35252,0.74942,0.00643,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,5184.85,1.58661,0.86417,0.00464,0.84714,0.82954,0.87855,0.49651,1.37205,0.74097,0.00651,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,5373.72,1.5796,0.86218,0.00462,0.83902,0.84668,0.88198,0.49506,1.34674,0.75226,0.00619,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,5562,1.56375,0.85222,0.00457,0.82009,0.83178,0.8768,0.49719,1.34236,0.74759,0.00613,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,5750.53,1.57103,0.85543,0.0046,0.81215,0.82343,0.87836,0.49922,1.33905,0.74459,0.0063,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,5938.49,1.56555,0.84354,0.0045,0.85123,0.81492,0.88236,0.50376,1.34421,0.72428,0.00642,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,6126.5,1.57038,0.84954,0.00467,0.80876,0.84651,0.87929,0.50622,1.34181,0.74601,0.00628,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,6315.16,1.55557,0.84251,0.00455,0.8037,0.85621,0.87877,0.50675,1.34022,0.72866,0.00618,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,6504.17,1.55209,0.83456,0.00455,0.83944,0.80515,0.87892,0.5047,1.31429,0.70984,0.00581,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,6692.31,1.55494,0.83852,0.00452,0.8373,0.82854,0.87469,0.50426,1.3286,0.7313,0.00619,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,6881.75,1.55553,0.83208,0.00445,0.81038,0.86016,0.88623,0.50887,1.31238,0.71421,0.006,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,7071.1,1.54469,0.81824,0.00438,0.83466,0.83175,0.87523,0.50243,1.32875,0.71702,0.00626,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,7259.54,1.53588,0.81081,0.00448,0.82143,0.85921,0.88328,0.50647,1.32482,0.71186,0.00583,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,7448.36,1.53444,0.80988,0.00445,0.81656,0.84725,0.8825,0.503,1.3279,0.70981,0.00591,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,7637.32,1.5329,0.80913,0.00444,0.83022,0.84418,0.88149,0.50781,1.31664,0.6987,0.00596,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,7826.34,1.54399,0.80077,0.00446,0.80548,0.87312,0.88098,0.51097,1.29964,0.70314,0.00581,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,8015.17,1.53859,0.79854,0.00435,0.81388,0.86724,0.88717,0.50959,1.30671,0.69649,0.00592,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,8203.76,1.53258,0.7979,0.00436,0.8321,0.8482,0.8872,0.51539,1.2985,0.70187,0.00594,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,8392.24,1.52212,0.804,0.00429,0.82651,0.84657,0.88392,0.50906,1.30048,0.68349,0.00583,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,8580.53,1.52493,0.77181,0.00437,0.78769,0.87309,0.88462,0.51227,1.30336,0.67152,0.00581,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,8769.17,1.52866,0.77399,0.00432,0.82862,0.86052,0.88925,0.51569,1.28053,0.68055,0.00569,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,8957.26,1.519,0.77732,0.0044,0.83678,0.83556,0.88211,0.51531,1.29259,0.67229,0.00557,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,9146.32,1.52416,0.78795,0.0043,0.78675,0.8866,0.88149,0.51446,1.30016,0.67948,0.00568,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,9335.31,1.509,0.77443,0.00431,0.81259,0.85637,0.88149,0.50403,1.30694,0.66973,0.00562,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,9524.23,1.50498,0.77256,0.0043,0.81583,0.85553,0.88225,0.51246,1.29856,0.68289,0.00603,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,9713.23,1.50791,0.76518,0.00431,0.83386,0.86586,0.88475,0.51859,1.28491,0.66565,0.00569,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,9902.52,1.50249,0.76829,0.00421,0.8143,0.84916,0.8802,0.5121,1.2847,0.67832,0.00566,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,10090.9,1.50588,0.76389,0.00426,0.83819,0.84921,0.88497,0.51776,1.28052,0.67961,0.00551,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,10279.5,1.50336,0.76212,0.0042,0.77507,0.88835,0.8829,0.50971,1.27709,0.67893,0.00538,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,10468.2,1.49701,0.74795,0.00418,0.80128,0.85348,0.88273,0.51354,1.27699,0.67462,0.00539,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,10656.6,1.49663,0.7483,0.00421,0.78599,0.88363,0.88483,0.51614,1.26813,0.68061,0.0053,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,10845.1,1.49228,0.75296,0.00422,0.77636,0.8777,0.88115,0.51426,1.26877,0.68129,0.00525,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,11033.9,1.48619,0.75267,0.00417,0.78516,0.89551,0.88362,0.51407,1.26927,0.67543,0.00524,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,11223.4,1.4837,0.73894,0.00417,0.83404,0.8521,0.88602,0.51906,1.27413,0.66987,0.00544,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,11412.4,1.47467,0.73633,0.0041,0.78207,0.89911,0.88754,0.51584,1.27247,0.66336,0.00533,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,11600.8,1.4752,0.7343,0.00417,0.77602,0.88925,0.88278,0.51209,1.27429,0.66312,0.00517,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,11789.7,1.47381,0.7284,0.00413,0.76588,0.90053,0.88432,0.51146,1.27236,0.66858,0.00518,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
